open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1667420100000,6.25000000,6.26000000,6.16000000,6.20000000,281789.20000000,1667420999999,1747728.36230000,3026,93100.13000000,577516.70620000,0
1667421000000,6.20000000,6.22000000,6.17000000,6.20000000,65767.92000000,1667421899999,407806.06470000,525,34233.68000000,212304.02790000,0
1667421900000,6.19000000,6.23000000,6.18000000,6.22000000,62067.60000000,1667422799999,385345.40380000,541,32667.91000000,202807.71720000,0
1667422800000,6.22000000,6.24000000,6.20000000,6.22000000,40843.31000000,1667423699999,254065.02460000,556,24362.51000000,151606.77470000,0
1667423700000,6.23000000,6.23000000,6.21000000,6.22000000,19590.23000000,1667424599999,121878.45370000,285,5548.95000000,34557.48300000,0
1667424600000,6.23000000,6.23000000,6.21000000,6.22000000,49030.72000000,1667425499999,304876.10150000,419,14673.95000000,91300.85470000,0
1667425500000,6.22000000,6.23000000,6.21000000,6.22000000,27876.01000000,1667426399999,173385.77040000,334,21056.63000000,131008.61920000,0
1667426400000,6.23000000,6.23000000,6.19000000,6.19000000,35079.40000000,1667427299999,217729.21940000,480,10771.47000000,66861.14060000,0
1667427300000,6.19000000,6.23000000,6.19000000,6.23000000,18083.54000000,1667428199999,112376.81610000,236,12359.54000000,76795.09800000,0
1667428200000,6.23000000,6.24000000,6.20000000,6.20000000,27031.08000000,1667429099999,168155.31420000,229,10722.03000000,66733.28270000,0
1667429100000,6.20000000,6.22000000,6.17000000,6.20000000,36010.13000000,1667429999999,223172.83270000,423,15954.55000000,98880.09960000,0
1667430000000,6.20000000,6.23000000,6.18000000,6.23000000,47338.41000000,1667430899999,293810.75850000,336,28524.59000000,177059.36610000,0
1667430900000,6.23000000,6.24000000,6.21000000,6.23000000,24780.27000000,1667431799999,154329.74220000,189,12712.79000000,79162.32260000,0
1667431800000,6.23000000,6.25000000,6.23000000,6.24000000,21359.90000000,1667432699999,133247.56890000,226,18408.00000000,114833.55260000,0
1667432700000,6.25000000,6.26000000,6.24000000,6.25000000,24624.82000000,1667433599999,153959.93140000,197,20160.52000000,126090.47050000,0
1667433600000,6.26000000,6.26000000,6.23000000,6.25000000,39698.57000000,1667434499999,247703.72000000,371,13276.27000000,82832.35720000,0
1667434500000,6.25000000,6.29000000,6.24000000,6.28000000,42465.91000000,1667435399999,266186.86210000,562,28510.12000000,178717.44220000,0
1667435400000,6.29000000,6.33000000,6.28000000,6.31000000,35873.05000000,1667436299999,226226.05390000,751,24465.13000000,154299.59590000,0
1667436300000,6.31000000,6.34000000,6.31000000,6.33000000,23727.23000000,1667437199999,150167.29350000,438,19247.25000000,121820.55890000,0
1667437200000,6.32000000,6.35000000,6.32000000,6.34000000,29348.25000000,1667438099999,185877.86960000,432,14410.47000000,91298.25610000,0
1667438100000,6.34000000,6.36000000,6.32000000,6.35000000,29257.56000000,1667438999999,185581.40340000,347,15389.10000000,97634.91800000,0
